reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,_parsed_date,reason_text
2025.9534,Other/Unmatched,feed,Dioxin/furans and dioxin-like PCBs in dried buffalo tripe from India,28-11-2025 15:58:59,Germany,information notification for attention,potentially serious,Germany,India,,"Germany,India",India,dioxins   - {environmental pollutants},11/28/2025 15:58,Dioxin/furans and dioxin-like PCBs in dried buffalo tripe from India | dioxins   - {environmental pollutants}
2025.9466,SPS,food,Vibrio cholerae in mazzancolle dall'Ecuador,27-11-2025 15:39:33,Italy,border rejection notification,potentially serious,,,,Ecuador,Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},11/27/2025 15:39,Vibrio cholerae in mazzancolle dall'Ecuador | Vibrio cholerae  - {pathogenic micro-organisms}
2025.9463,TBT,food,Misleading product labelling and detection of Canis lupus spp. in various chilled products from Vietnam,27-11-2025 15:27:25,Germany,border rejection notification,serious,,Vietnam,,"Czechia,Vietnam",Vietnam,"porcine DNA presence - {adulteration / fraud},poultry DNA presence,ruminant DNA presence - {TSEs}",11/27/2025 15:27,"Misleading product labelling and detection of Canis lupus spp. in various chilled products from Vietnam | porcine DNA presence - {adulteration / fraud},poultry DNA presence,ruminant DNA presence - {TSEs}"
2025.9257,Other/Unmatched,food,"A batch of raisins imported from India was found to be unfit for consumption due to damage to the container //Stwierdzenie nienadającej się do spożycia partii rodzynek importowanych z Indii z uwagi na uszkodzenie kontenera.                                                                                                            pn. Infatrini peptisorb dla niemowląt, Nutricia ",24-11-2025 10:34:19,Poland,border rejection notification,potential risk,Poland,,,"India,Poland",India,,11/24/2025 10:34,"A batch of raisins imported from India was found to be unfit for consumption due to damage to the container //Stwierdzenie nienadającej się do spożycia partii rodzynek importowanych z Indii z uwagi na uszkodzenie kontenera.                                                                                                            pn. Infatrini peptisorb dla niemowląt, Nutricia "
2025.9242,SPS,food,Thiamethoxam above legal limits in Psidium guajava from India,21-11-2025 16:04:10,Italy,border rejection notification,potentially serious,Italy,,,India,India,thiamethoxam   - {pesticide residues},11/21/2025 16:04,Thiamethoxam above legal limits in Psidium guajava from India | thiamethoxam   - {pesticide residues}
2025.9237,Other/Unmatched,food,High levels of pyrrolizidine alkaloids in cumin//Altos niveles de alcaloides pirrolizidínicos en comino procedente de la India a través de España,21-11-2025 15:18:08,France,alert notification,potentially serious,"France,Netherlands,Portugal,Spain",France,"Netherlands,Portugal,Spain","India,Spain",India,pyrrolizidine alkaloids   - {natural toxins (other)},11/21/2025 15:18,High levels of pyrrolizidine alkaloids in cumin//Altos niveles de alcaloides pirrolizidínicos en comino procedente de la India a través de España | pyrrolizidine alkaloids   - {natural toxins (other)}
2025.9224,Other/Unmatched,food,Foreign bodies (glass fragments) in kimchi in glass from Vietnam,21-11-2025 14:09:09,Germany,alert notification,serious,"Germany,Portugal","INFOSAN,Vietnam",Portugal,"Germany,Vietnam",Vietnam,,11/21/2025 14:09,Foreign bodies (glass fragments) in kimchi in glass from Vietnam
2025.9205,SPS,food,"3-amino-2-oxazolidinone (AOZ) in shrimp from India, via Belgium",21-11-2025 10:07:41,Germany,information notification for follow-up,potentially serious,"Austria,Belgium,Germany",India,"Austria,Belgium,Germany","Belgium,Germany,India",India,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},11/21/2025 10:07,"3-amino-2-oxazolidinone (AOZ) in shrimp from India, via Belgium | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products}"
2025.9129,SPS,food,Clorpirifos y triziclazol en arroz de la India / Chlorpyrifos and triazole in Indian rice ,19-11-2025 16:45:29,Spain,border rejection notification,potential risk,,,,"India,Spain",India,"chlorpyrifos  unauthorised substance - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",11/19/2025 16:45,"Clorpirifos y triziclazol en arroz de la India / Chlorpyrifos and triazole in Indian rice  | chlorpyrifos  unauthorised substance - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2025.9104,Other/Unmatched,food,Presenza di larve e insetti vivi in semi di sesamo dall'India/Presence of larvae and live insects in sesame seeds from India,19-11-2025 11:44:33,Italy,border rejection notification,not serious,,,,"India,Italy",India,,11/19/2025 11:44,Presenza di larve e insetti vivi in semi di sesamo dall'India/Presence of larvae and live insects in sesame seeds from India
2025.9103,SPS,food,Vibrio cholerae in mazzancolle congelate (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei),19-11-2025 11:39:04,Italy,border rejection notification,potentially serious,,,,"Ecuador,Italy",Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},11/19/2025 11:39,Vibrio cholerae in mazzancolle congelate (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei) | Vibrio cholerae  - {pathogenic micro-organisms}
2025.9084,SPS,food,Unauthorised chlorpyrifos in sesame seeds from India,19-11-2025 07:02:15,Greece,border rejection notification,potentially serious,,,,"Greece,India",India,chlorpyrifos  unauthorised substance - {pesticide residues},11/19/2025 7:02,Unauthorised chlorpyrifos in sesame seeds from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.9069,Other/Unmatched,food,Maximum content of pyrrolizidine alkaloids in cumin powder has been exceeded,18-11-2025 15:22:25,Switzerland,alert notification,serious,"Austria,Belgium,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovenia,Spain,Sweden,Switzerland","INFOSAN,Italy,Switzerland","Austria,Belgium,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,India,Ireland,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovenia,Spain,Sweden,Switzerland","India,Italy,Romania,Switzerland",India,pyrrolizidine alkaloids   - {natural toxins (other)},11/18/2025 15:22,Maximum content of pyrrolizidine alkaloids in cumin powder has been exceeded | pyrrolizidine alkaloids   - {natural toxins (other)}
2025.8995,SPS,food,"STEC in pomegranate seeds from India, via the Netherlands",17-11-2025 14:43:08,Germany,information notification for attention,serious,"Germany,Netherlands","INFOSAN,India,Netherlands",,"Germany,India,Netherlands",India,Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms},11/17/2025 14:43,"STEC in pomegranate seeds from India, via the Netherlands | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms}"
2025.8955,Other/Unmatched,food,rupture of the cold chain in frozen prawns (Penaeus vannamei)  from Ecuador // Rotura de la cadena de frio en langostinos congelados (Penaeus vannamei) comercializados en España procedentes de Ecuador,14-11-2025 17:06:12,Spain,information notification for follow-up,potentially serious,"Belgium,France,Germany,Netherlands,Portugal,Spain","INFOSAN,Portugal","Belgium,France,Germany,Netherlands,Portugal","Ecuador,Spain",Ecuador,,11/14/2025 17:06,rupture of the cold chain in frozen prawns (Penaeus vannamei)  from Ecuador // Rotura de la cadena de frio en langostinos congelados (Penaeus vannamei) comercializados en España procedentes de Ecuador
2025.8946,SPS,food,Consignment cornichons with honey skipped veterinary controls in Border Control Post.,14-11-2025 15:32:17,Netherlands,information notification for follow-up,not serious,"Germany,Netherlands",India,Germany,"Germany,India",India,,11/14/2025 15:32,Consignment cornichons with honey skipped veterinary controls in Border Control Post.
2025.8922,SPS,food,Chlorpyrifos in bananas from Ecuador through Hungary,14-11-2025 12:35:39,Croatia,information notification for attention,potential risk,"Croatia,Poland","Croatia,Ecuador,Hungary,Poland",,"Croatia,Ecuador,Hungary,Poland",Ecuador,chlorpyrifos  unauthorised substance - {pesticide residues},11/14/2025 12:35,Chlorpyrifos in bananas from Ecuador through Hungary | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.8903,SPS,food,Ochratoxin A in basmati rice from India,14-11-2025 11:17:03,Netherlands,information notification for attention,serious,Netherlands,"INFOSAN,India",,"India,Netherlands",India,ochratoxin A   - {mycotoxins},11/14/2025 11:17,Ochratoxin A in basmati rice from India | ochratoxin A   - {mycotoxins}
2025.8852,Other/Unmatched,food,Unauthorized novel food: Stone flower (Parmotrema perlatum) and Ajwain (Trachyspermum ammi (L.) and health claims  for food snacks from India,13-11-2025 11:51:16,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,11/13/2025 11:51,Unauthorized novel food: Stone flower (Parmotrema perlatum) and Ajwain (Trachyspermum ammi (L.) and health claims  for food snacks from India
2025.884,Other/Unmatched,food,Presence of pyrrolizidine alkaloids in ground cumin from India,12/11/2025 17:33,France,information notification for attention,serious,France,INFOSAN,"India,Lebanon",India,India,pyrrolizidine alkaloids   - {natural toxins (other)},11/12/2025 17:33,Presence of pyrrolizidine alkaloids in ground cumin from India | pyrrolizidine alkaloids   - {natural toxins (other)}
2025.8821,Other/Unmatched,food,Ciguatera poisoning from eating frozen red snapper steak from India,11/11/2025 17:35,Germany,alert notification,serious,"Austria,Belgium,Finland,Germany,Luxembourg,Netherlands,Sweden,Switzerland","INFOSAN,India,Netherlands","Austria,Belgium,Finland,Germany,India,Luxembourg,Netherlands,Sweden,Switzerland","India,Netherlands",India,,11/11/2025 17:35,Ciguatera poisoning from eating frozen red snapper steak from India
2025.8734,Other/Unmatched,food,Unauthorized Yohimbe (Pausinystalia yohimbe) in food supplements from China ,8/11/2025 8:42,Latvia,border rejection notification,potential risk,,India,,"India,Latvia",India,,11/8/2025 8:42,Unauthorized Yohimbe (Pausinystalia yohimbe) in food supplements from China 
2025.8729,SPS,food,ochratoxin A in rice from India,7/11/2025 17:19,Netherlands,information notification for attention,serious,Netherlands,INFOSAN,,"India,Netherlands",India,ochratoxin A   - {mycotoxins},11/7/2025 17:19,ochratoxin A in rice from India | ochratoxin A   - {mycotoxins}
2025.8728,SPS,food,Salmonella saintpaul in cosce di rana congelate dal Vietnam via Belgio//Salmonella saintpaul in frozen frog legs from Vietnam via Belgium,7/11/2025 17:15,Italy,information notification for follow-up,not serious,Italy,Belgium,,"Belgium,Italy",Vietnam,Salmonella   - {pathogenic micro-organisms},11/7/2025 17:15,Salmonella saintpaul in cosce di rana congelate dal Vietnam via Belgio//Salmonella saintpaul in frozen frog legs from Vietnam via Belgium | Salmonella   - {pathogenic micro-organisms}
2025.8701,SPS,food,Vibrio cholerae in mazzancolle (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei),7/11/2025 14:37,Italy,border rejection notification,potentially serious,,,,"Ecuador,Italy",Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},11/7/2025 14:37,Vibrio cholerae in mazzancolle (Litopenaeus vannamei) dall'Ecuador//Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei) | Vibrio cholerae  - {pathogenic micro-organisms}
2025.8695,SPS,food,Vibrio cholerae in in prawns dall'Ecuador,7/11/2025 14:18,Italy,border rejection notification,potentially serious,,,,"Ecuador,Italy",Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},11/7/2025 14:18,Vibrio cholerae in in prawns dall'Ecuador | Vibrio cholerae  - {pathogenic micro-organisms}
2025.8694,SPS,food,Vibrio cholerae in prawns dall'Ecuador,7/11/2025 14:11,Italy,border rejection notification,potentially serious,,Ecuador,,"Ecuador,Italy",Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},11/7/2025 14:11,Vibrio cholerae in prawns dall'Ecuador | Vibrio cholerae  - {pathogenic micro-organisms}
2025.8663,SPS,food,Vibrio cholerae in Prawns from Ecuador /Vibrio cholerae in mazzancolle dall'Ecuador,7/11/2025 9:41,Italy,border rejection notification,potentially serious,,Ecuador,,"Ecuador,Italy",Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},11/7/2025 9:41,Vibrio cholerae in Prawns from Ecuador /Vibrio cholerae in mazzancolle dall'Ecuador | Vibrio cholerae  - {pathogenic micro-organisms}
2025.8655,SPS,food,Pesticides in Rambutan from Vietnam,6/11/2025 17:40,Netherlands,information notification for attention,serious,Netherlands,INFOSAN,,"Netherlands,Vietnam",Vietnam,"acephate  unauthorised substance - {pesticide residues},cypermethrin   - {pesticide residues},flubendiamide   - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues}",11/6/2025 17:40,"Pesticides in Rambutan from Vietnam | acephate  unauthorised substance - {pesticide residues},cypermethrin   - {pesticide residues},flubendiamide   - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues}"
2025.864,SPS,food,Pesticide residues in Indian Cumin whole,6/11/2025 12:27,Netherlands,border rejection notification,not serious,,,,"India,Netherlands",India,tolfenpyrad   - {pesticide residues},11/6/2025 12:27,Pesticide residues in Indian Cumin whole | tolfenpyrad   - {pesticide residues}
2025.8543,Other/Unmatched,food,"Excessive levels of lead in cinnamon powder from Vietnam, via the Netherlands",3/11/2025 17:12,Germany,information notification for follow-up,potentially serious,"Austria,France,Germany,Hungary,Netherlands,Slovakia,Slovenia","Austria,Vietnam","Austria,France,Germany,Hungary,Slovakia,Slovenia,Vietnam","Austria,Germany,Netherlands,Vietnam",Vietnam,lead  high content - {heavy metals},11/3/2025 17:12,"Excessive levels of lead in cinnamon powder from Vietnam, via the Netherlands | lead  high content - {heavy metals}"
2025.8536,Other/Unmatched,food,Lead and mercury in food supplement from India,3/11/2025 16:07,Netherlands,information notification for attention,potential risk,,"INFOSAN,India",Germany,"Germany,India,Netherlands",India,"lead   - {heavy metals},mercury   - {heavy metals}",11/3/2025 16:07,"Lead and mercury in food supplement from India | lead   - {heavy metals},mercury   - {heavy metals}"
2025.8432,SPS,food,Salmonella detectada en sesamo India.  Salmonella detected in sesamun from Pakistan,30-10-2025 12:21:25,Spain,border rejection notification,serious,,,,"India,Spain",India,Salmonella   - {non-pathogenic micro-organisms},10/30/2025 12:21,Salmonella detectada en sesamo India.  Salmonella detected in sesamun from Pakistan | Salmonella   - {non-pathogenic micro-organisms}
2025.8374,SPS,food,Pesticide residues in Whole Cumin from India ,29-10-2025 09:15:36,Malta,border rejection notification,serious,,,,Malta,India,"acetamiprid   - {pesticide residues},carbendazim   - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},clothianidin   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues},metalaxyl   - {pesticide residues},picoxystrobin   unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tolfenpyrad   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",10/29/2025 9:15,"Pesticide residues in Whole Cumin from India  | acetamiprid   - {pesticide residues},carbendazim   - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},clothianidin   - {pesticide residues},fipronil  unauthorised substance - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues},metalaxyl   - {pesticide residues},picoxystrobin   unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tolfenpyrad   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2025.8363,TBT,food,paracetamol in nonprocessed gherkins in acetic acid,28-10-2025 17:30:33,Slovenia,information notification for attention,potential risk,Slovenia,India,,"India,Slovenia",India,unauthorised   - {composition},10/28/2025 17:30,paracetamol in nonprocessed gherkins in acetic acid | unauthorised   - {composition}
2025.8361,SPS,food,Chlorpyrifos in dried fenugreek leaves from India,28-10-2025 17:07:12,Germany,alert notification,serious,"Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Finland,France,Germany,Ireland,Italy,Latvia,Luxembourg,Poland,Portugal,Romania,Slovakia,Spain,Switzerland,United Kingdom","Croatia,Denmark,Germany,INFOSAN,Spain,United Kingdom","Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Finland,France,Ireland,Italy,Latvia,Luxembourg,Poland,Portugal,Romania,Slovakia,Spain,Switzerland","Austria,Germany,India,Italy,Spain",India,chlorpyrifos  unauthorised substance - {pesticide residues},10/28/2025 17:07,Chlorpyrifos in dried fenugreek leaves from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.8336,SPS,food,Vibrio cholerae in mazzancolle dall'Ecuador // Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei),28-10-2025 13:57:56,Italy,border rejection notification,potentially serious,,Ecuador,,"Ecuador,Italy",Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},10/28/2025 13:57,Vibrio cholerae in mazzancolle dall'Ecuador // Vibrio cholerae in frozen whiteleg shrimps (Litopenaeus vannamei) | Vibrio cholerae  - {pathogenic micro-organisms}
2025.8276,SPS,food,Thiamethoxam in rice from India,27-10-2025 12:05:53,Germany,border rejection notification,potential risk,Germany,,,"Germany,India",India,thiamethoxam   - {pesticide residues},10/27/2025 12:05,Thiamethoxam in rice from India | thiamethoxam   - {pesticide residues}
2025.825,TBT,food,Presence of aloe-emodin in a food supplement from the India,24-10-2025 17:02:49,Latvia,alert notification,potentially serious,"Estonia,Latvia","INFOSAN,India","Estonia,India","Estonia,Latvia",India,aloin  high content - {composition},10/24/2025 17:02,Presence of aloe-emodin in a food supplement from the India | aloin  high content - {composition}
2025.8241,TBT,food,Presence of aloe-emodin and emodin in food supplement from India,24-10-2025 15:06:49,Latvia,alert notification,potentially serious,"Estonia,Germany,Latvia",India,"Estonia,Germany,India","Estonia,Germany,Latvia",India,aloe-emodin prohibited substance - {composition},10/24/2025 15:06,Presence of aloe-emodin and emodin in food supplement from India | aloe-emodin prohibited substance - {composition}
2025.8238,SPS,food,High chlorpyrifos content in fennel seeds,24-10-2025 14:41:04,Switzerland,information notification for attention,potentially serious,Switzerland,INFOSAN,,"India,Switzerland",India,chlorpyrifos  unauthorised substance - {pesticide residues},10/24/2025 14:41,High chlorpyrifos content in fennel seeds | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.8221,SPS,food,Unauthorised substance ethylene oxide in Garam Masala from India ,24-10-2025 10:51:48,Germany,border rejection notification,serious,,India,,"Germany,India",India,ethylene oxide   - {pesticide residues},10/24/2025 10:51,Unauthorised substance ethylene oxide in Garam Masala from India  | ethylene oxide   - {pesticide residues}
2025.82,SPS,food,Chlorpyrifos in Ginger powder from India,23-10-2025 16:58:04,Denmark,information notification for follow-up,potentially serious,Denmark,United Kingdom,Netherlands,"Netherlands,United Kingdom",India,chlorpyrifos  unauthorised substance - {pesticide residues},10/23/2025 16:58,Chlorpyrifos in Ginger powder from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.8191,SPS,food,paracetamol in non -processed gherkins in acetic acid,23-10-2025 15:54:27,Slovenia,information notification for attention,potential risk,Slovenia,INFOSAN,,"India,Slovenia",India,paracetamol  - {chemical contamination (other)},10/23/2025 15:54,paracetamol in non -processed gherkins in acetic acid | paracetamol  - {chemical contamination (other)}
2025.8183,SPS,food,Pesticide in rice from India,23-10-2025 12:47:55,Sweden,border rejection notification,potentially serious,,India,United Arab Emirates,"India,Sweden,United Arab Emirates",India,chlorpyrifos  unauthorised substance - {pesticide residues},10/23/2025 12:47,Pesticide in rice from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.8148,SPS,food,Salmonella in turmeric powder ,22-10-2025 15:02:46,Italy,alert notification,serious,"Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovenia,Spain,Sweden,Switzerland","Germany,INFOSAN,Italy,Malta,Sweden","Austria,Belgium,Bulgaria,Croatia,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,India,Ireland,Malta,Netherlands,Norway,Poland,Portugal,Slovenia,Spain,Sweden,Switzerland","Austria,Czechia,India,Italy,Romania,Slovenia",India,Salmonella spp   - {pathogenic micro-organisms},10/22/2025 15:02,Salmonella in turmeric powder  | Salmonella spp   - {pathogenic micro-organisms}
2025.8128,SPS,food,Salmonella spp. in frozen frog legs from Vietnam,22-10-2025 11:46:14,Germany,information notification for follow-up,not serious,"Czechia,Vietnam",,Czechia,"Czechia,Vietnam",Vietnam,Salmonella spp.  - {pathogenic micro-organisms},10/22/2025 11:46,Salmonella spp. in frozen frog legs from Vietnam | Salmonella spp.  - {pathogenic micro-organisms}
2025.8102,TBT,food,Incorrect identification code in health certificates for pepper products from India,21-10-2025 15:18:15,Poland,border rejection notification,not serious,,India,,"India,Poland",India,,10/21/2025 15:18,Incorrect identification code in health certificates for pepper products from India
2025.8074,SPS,food,Chlorpyrifos in hulled sesame seeds from India,21-10-2025 10:10:43,Norway,information notification for attention,potentially serious,Norway,INFOSAN,,"India,Norway",India,chlorpyrifos  unauthorised substance - {pesticide residues},10/21/2025 10:10,Chlorpyrifos in hulled sesame seeds from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.8066,SPS,food,Ethylene oxide in cinnamon,20-10-2025 16:59:24,France,alert notification,serious,"Belgium,Bulgaria,Cameroon,Czechia,Côte d'Ivoire,France,Gabon,Lebanon,Senegal,Togo","Belgium,INFOSAN,Lebanon,Netherlands","Belgium,Bulgaria,Czechia,France,Netherlands","Belgium,France,Netherlands",Vietnam,ethylene oxide   - {pesticide residues},10/20/2025 16:59,Ethylene oxide in cinnamon | ethylene oxide   - {pesticide residues}
