Importing Market,Exporting country,Refusal date - formating as MM-YYYY,Barrier Classification,Specific Reason of Rejection,Unique Order ID
Italy,Ecuador,07-2023,SPS,Vibrio vulnificus  - {pathogenic micro-organisms},2023.444
Romania,Ecuador,07-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.4824
Romania,Ecuador,07-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.4826
Spain,Ecuador,07-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5003
Spain,Ecuador,07-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5004
Spain,Ecuador,07-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5006
Spain,Ecuador,08-2021,SPS,"E220- sulfur dioxide  too high content - {food additives and flavourings},sulphur dioxide (SO2)   - {chemical contamination (other)}",2021.4327
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5229
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5262
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5273
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5274
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5276
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.53
Bulgaria,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5354
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.5532
Spain,Ecuador,08-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.554
Spain,Ecuador,08-2023,SPS,"Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae NON O:1/NON O:139  - {pathogenic micro-organisms}",2023.588
Spain,Ecuador,09-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.6052
Romania,Ecuador,09-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.6203
Spain,Ecuador,09-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.6407
European Commission,Ecuador,09-2024,SPS,"Vibrio cholerae  - {pathogenic micro-organisms},Vibrio parahaemolyticus  - {pathogenic micro-organisms}",2024.6996
Lithuania,Ecuador,10-2022,SPS,Vibrio vulnificus  - {pathogenic micro-organisms},2022.59
Spain,Ecuador,10-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.6645
Portugal,Ecuador,10-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.6862
Portugal,Ecuador,10-2023,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2023.6865
Italy,Ecuador,10-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.8336
Italy,Ecuador,11-2022,TBT,unfavorable identity check in frozen peeled whiteleg shrimps from Ecuador,2022.6815
Italy,Ecuador,11-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.8663
Italy,Ecuador,11-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.8694
Italy,Ecuador,11-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.8695
Italy,Ecuador,11-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.8701
Italy,Ecuador,11-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.9103
Spain,Ecuador,12-2021,SPS,Vibrio cholerae NON O:1/NON O:139  - {pathogenic micro-organisms},2021.7183
Italy,Ecuador,12-2025,SPS,Vibrio cholerae  - {pathogenic micro-organisms},2025.10116
Belgium,India,01-2025,SPS,nitrofuran (metabolite) furaltadone (AMOZ) prohibited substance - {residues of veterinary medicinal products},2025.0192
Belgium,India,02-2024,TBT,sulphite  improperly declared - {allergens},2024.1212
Netherlands,India,02-2026,SPS,Rotten odor from frozen shrimps from India. ,2026.096
Netherlands,India,03-2020,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2020.1445
France,India,03-2021,SPS,furazolidon   - {residues of veterinary medicinal products},2021.1444
France,India,04-2020,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2020.1699
Belgium,India,04-2023,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2023.2797
Belgium,India,04-2024,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2024.3111
Netherlands,India,04-2025,SPS,furazolidon   - {residues of veterinary medicinal products},2025.2394
Belgium,India,04-2025,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.2622
Netherlands,India,05-2023,SPS,furazolidon   - {residues of veterinary medicinal products},2023.3348
Belgium,India,06-2023,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2023.4117
Belgium,India,07-2024,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2024.5381
Germany,India,07-2024,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2024.5678
Netherlands,India,08-2020,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2020.3224
Germany,India,09-2021,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2021.4776
Ireland,India,09-2025,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.7137
Belgium,India,10-2022,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2022.5868
Ireland,India,10-2025,SPS,nitrofuran metabolite aminoguanidine (AGN) prohibited substance - {residues of veterinary medicinal products},2025.7528
Germany,India,12-2024,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2024.909
Belgium,India,12-2025,SPS,nitrofuran (metabolite) nitrofurazone (SEM) prohibited substance - {residues of veterinary medicinal products},2025.9911
Netherlands,Vietnam,05-2023,SPS,furazolidon   - {residues of veterinary medicinal products},2023.3267
Belgium,Vietnam,08-2025,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.6281
Belgium,Vietnam,08-2025,SPS,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2025.6283
Netherlands,Vietnam,10-2023,SPS,doxycycline  residue level above MRL - {residues of veterinary medicinal products},2023.7284
Belgium,Vietnam,11-2024,SPS,tetracycline  residue level above MRL - {residues of veterinary medicinal products},2024.8485
Belgium,Vietnam,12-2024,SPS,sulfamethoxazole  residue level above MRL - {residues of veterinary medicinal products},2024.9053
